tmdbId,tmdb_title,top_cast,cast_count,director,writers,producers,composer
11451,Herbie Fully Loaded,Lindsay Lohan|Michael Keaton|Matt Dillon|Breckin Meyer|Justin Long,16,Angela Robinson,Thomas Lennon|Miles Millar|Alfred Gough|Mark Perez|Ben Garant,Robert Simonds,Mark Mothersbaugh|The Blacksmoke Organisation
12103,Don't Say a Word,Michael Douglas|Sean Bean|Brittany Murphy|Skye McCole Bartusiak|Guy Torry,16,Gary Fleder,Patrick Smith Kelly|Anthony Peckham,Arnon Milchan|Arnold Kopelson|Anne Kopelson,Mark Isham
60304,Hansel & Gretel: Witch Hunters,Jeremy Renner|Gemma Arterton|Famke Janssen|Pihla Viitala|Derek Mears,23,Tommy Wirkola,Tommy Wirkola|Dante Harper,Will Ferrell|Adam McKay|Tommy Wirkola|Kevin Messick,Atli Örvarsson
2251,Unfaithful,Richard Gere|Diane Lane|Olivier Martinez|Erik Per Sullivan|Zeljko Ivanek,12,Adrian Lyne,William Broyles Jr.|Alvin Sargent,Adrian Lyne|G. Mac Brown,
46529,I Am Number Four,Alex Pettyfer|Timothy Olyphant|Teresa Palmer|Dianna Agron|Callan McAuliffe,49,D.J. Caruso,Miles Millar|Alfred Gough|Marti Noxon,Michael Bay|James M. Freitag|Emily Berger,Trevor Rabin
231,Syriana,George Clooney|Matt Damon|Jeffrey Wright|Chris Cooper|Amanda Peet,31,Stephen Gaghan,Stephen Gaghan,Jennifer Fox|Georgia Kacandes|Michael Nozik,Alexandre Desplat
300671,13 Hours: The Secret Soldiers of Benghazi,James Badge Dale|John Krasinski|Max Martini|Pablo Schreiber|Toby Stephens,33,Michael Bay,Chuck Hogan,Michael Bay|Erwin Stoff,Lorne Balfe
228326,The Book of Life,Diego Luna|Channing Tatum|Zoe Saldana|Christina Applegate|Eugenio Derbez,28,Jorge R. Gutierrez,Doug Langdale|Jorge R. Gutierrez,Guillermo del Toro|Brad Booker,Gustavo Santaolalla
9754,Firewall,Harrison Ford|Paul Bettany|Virginia Madsen|Carly Schroeder|Jimmy Bennett,19,Richard Loncraine,,Armyan Bernstein|Jonathan Shestack|Basil Iwanyk,Alexandre Desplat
66,Absolute Power,Clint Eastwood|Gene Hackman|Ed Harris|Scott Glenn|Laura Linney,11,Clint Eastwood,William Goldman,Clint Eastwood|Michael Maurer|Karen S. Spiegel,Clint Eastwood|Lennie Niehaus
4421,G.I. Jane,Demi Moore|Viggo Mortensen|Anne Bancroft|Jason Beghe|Daniel von Bargen,14,Ridley Scott,David Twohy|Danielle Alexandra,Suzanne Todd|Ridley Scott|Demi Moore|Roger Birnbaum,Trevor Jones
2649,The Game,Michael Douglas|Sean Penn|Deborah Kara Unger|James Rebhorn|Spike Jonze,46,David Fincher,John D. Brancato|Michael Ferris,Steve Golin|Ceán Chaffin,Howard Shore
588,Silent Hill,Radha Mitchell|Sean Bean|Laurie Holden|Deborah Kara Unger|Kim Coates,16,Christophe Gans,Roger Avary,Samuel Hadida|Don Carmody,
10393,The Replacements,Keanu Reeves|Gene Hackman|Brooke Langton|Orlando Jones|Faizon Love,15,Howard Deutch,Vince McKewin,Dylan Sellers,John Debney
71552,American Reunion,Jason Biggs|Alyson Hannigan|Seann William Scott|Chris Klein|Thomas Ian Nicholas,22,Jon Hurwitz|Hayden Schlossberg,Adam Herz,,Lyle Workman
9631,The Negotiator,Samuel L. Jackson|Kevin Spacey|David Morse|Ron Rifkin|John Spencer,47,F. Gary Gray,James DeMonaco|Kevin Fox,Arnon Milchan|David Hoberman,
216282,Into the Storm,Richard Armitage|Sarah Wayne Callies|Matt Walsh|Nathan Kress|Alycia Debnam-Carey,98,Steven Quale,John Swetnam,Todd Garner,Brian Tyler
306,Beverly Hills Cop III,Eddie Murphy|Judge Reinhold|Héctor Elizondo|Gilbert R. Hill|Timothy Carhart,23,John Landis,"Danilo Bach|Daniel Petrie, Jr.",Mace Neufeld|Robert Rehme,Nile Rodgers
928,Gremlins 2: The New Batch,Zach Galligan|Phoebe Cates|John Glover|Robert Prosky|Robert Picardo,27,Joe Dante,Chris Columbus,Michael Finnell,Jerry Goldsmith
205587,The Judge,Robert Duvall|Robert Downey Jr.|Vera Farmiga|Vincent D'Onofrio|Jeremy Strong,16,David Dobkin,David Dobkin|Nick Schenk|Nick Schenk|Bill Dubuque,Susan Downey|David Dobkin|David Gambino,Thomas Newman
6623,The Peacemaker,George Clooney|Nicole Kidman|Marcel Iureș|Goran Visnjic|Armin Mueller-Stahl,23,Mimi Leder,Michael Schiffer,Branko Lustig|Walter F. Parkes,Hans Zimmer
1577,Resident Evil: Apocalypse,Milla Jovovich|Sienna Guillory|Oded Fehr|Thomas Kretschmann|Sophie Vavasseur,87,Alexander Witt,Paul W.S. Anderson,Paul W.S. Anderson|Jeremy Bolt|Don Carmody,Jeff Danna
9801,Bridget Jones: The Edge of Reason,Renée Zellweger|Hugh Grant|Colin Firth|Jim Broadbent|Gemma Jones,43,Beeban Kidron,Adam Brooks|Richard Curtis|Helen Fielding|Andrew Davies,Tim Bevan|Eric Fellner|Jonathan Cavendish|Oswald Wolkenstein,Harry Gregson-Williams|Stuart Roslyn
2116,Out of Time,Denzel Washington|Eva Mendes|Sanaa Lathan|John Billingsley|Dean Cain,12,Carl Franklin,David Collard,Neal H. Moritz|Jesse Beaton|Stokely Chaffin,Graeme Revell
9624,On Deadly Ground,Steven Seagal|Michael Caine|Joan Chen|John C. McGinley|R. Lee Ermey,10,Steven Seagal,Ed Horowitz|Robin U. Russin,A. Kitman Ho|Steven Seagal|Julius R. Nasso,Basil Poledouris
14199,The Adventures of Sharkboy and Lavagirl,Taylor Lautner|Taylor Dooley|Cayden Boyd|David Arquette|Kristin Davis,8,Robert Rodriguez,Robert Rodriguez|Marcel Rodriguez,Elizabeth Avellan,
1907,The Beach,Leonardo DiCaprio|Guillaume Canet|Tilda Swinton|Virginie Ledoyen|Staffan Kihlbom,16,Danny Boyle,John Hodge,Andrew Macdonald|Callum McDougall,Angelo Badalamenti
4599,Raising Helen,Kate Hudson|John Corbett|Joan Cusack|Hayden Panettiere|Spencer Breslin,28,Garry Marshall,Jack Amiel|Michael Begler|Patrick J. Clifton|Beth Rigazio,Ashok Amritraj|David Hoberman,
22832,Ninja Assassin,Rain|Naomie Harris|Sung Kang|Randall Duk Kim|Rick Yune,38,James McTeigue,J. Michael Straczynski|Matthew Sand,Joel Silver|Grant Hill|Lilly Wachowski|Lana Wachowski,
10390,For Love of the Game,Kevin Costner|Kelly Preston|John C. Reilly|Jena Malone|J.K. Simmons,7,Sam Raimi,Dana Stevens,,Basil Poledouris
9879,Striptease,Demi Moore|Burt Reynolds|Armand Assante|Ving Rhames|Robert Patrick,18,Andrew Bergman,Andrew Bergman,Mike Lobell|Andrew Bergman,Howard Shore
38579,Marmaduke,Owen Wilson|Emma Stone|George Lopez|Christopher Mintz-Plasse|Steve Coogan,18,Tom Dey,Tim Rasmussen|Vince Di Meglio,John Davis,Christopher Lennertz
44603,Hereafter,Matt Damon|Bryce Dallas Howard|George McLaren|Thierry Neuvic|Cyndi Mayo Davis,26,Clint Eastwood,Peter Morgan,,
11892,Murder by Numbers,Sandra Bullock|Ben Chaplin|Ryan Gosling|Michael Pitt|Agnes Bruckner,26,Barbet Schroeder,Tony Gayton,Barbet Schroeder,Clint Mansell
9691,Assassins,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson,17,Richard Donner,Brian Helgeland|Lilly Wachowski|Lana Wachowski,Joel Silver|Bruce A. Evans|Raynold Gideon|Richard Donner|Jim Van Wyck,
1248,Hannibal Rising,Gaspard Ulliel|Aaran Thomas|Gong Li|Dominic West|Rhys Ifans,17,Peter Webber,Thomas Harris,Dino De Laurentiis|Tarak Ben Ammar|Martha De Laurentiis,Shigeru Umebayashi|Ilan Eshkeri
12220,The Story of Us,Bruce Willis|Michelle Pfeiffer|Rob Reiner|Colleen Rennison|Jake Sandvig,17,Rob Reiner,Jessie Nelson|Alan Zweibel,Rob Reiner|Jessie Nelson|Alan Zweibel,Eric Clapton|Marc Shaiman
72710,The Host,Saoirse Ronan|Diane Kruger|Jake Abel|William Hurt|Frances Fisher,36,Andrew Niccol,Andrew Niccol,Nick Wechsler|Stephenie Meyer|Paula Mae Schwartz|Steve Schwartz,
10782,Basic,John Travolta|Connie Nielsen|Samuel L. Jackson|Giovanni Ribisi|Tim Daly,17,John McTiernan,James Vanderbilt,Michael Tadross|James Vanderbilt|Mike Medavoy|Arnold Messer,Klaus Badelt
9573,Blood Work,Clint Eastwood|Jeff Daniels|Anjelica Huston|Wanda De Jesus|Tina Lifford,18,Clint Eastwood,Brian Helgeland,Clint Eastwood|Judie Hoyt,Lennie Niehaus
4959,The International,Clive Owen|Naomi Watts|Armin Mueller-Stahl|Ulrich Thomsen|Brían F. O'Byrne,36,Tom Tykwer,Eric Singer,,
10061,Escape from L.A.,Kurt Russell|Stacy Keach|Steve Buscemi|Pam Grier|Cliff Robertson,17,John Carpenter,Debra Hill|Kurt Russell|John Carpenter,Debra Hill|Kurt Russell,John Carpenter|Shirley Walker
10386,The Iron Giant,Eli Marienthal|Jennifer Aniston|Vin Diesel|Christopher McDonald|Harry Connick Jr.,29,Brad Bird,Brad Bird|Tim McCanlies,Allison Abbate|Pete Townshend|Des McAnuff,Michael Kamen
421,The Life Aquatic with Steve Zissou,Bill Murray|Anjelica Huston|Cate Blanchett|Willem Dafoe|Owen Wilson,16,Wes Anderson,Wes Anderson|Noah Baumbach,Scott Rudin|Wes Anderson|Barry Mendel|Dan Beers,Mark Mothersbaugh
316152,Free State of Jones,Matthew McConaughey|Gugu Mbatha-Raw|Mahershala Ali|Keri Russell|Jacob Lofland,38,Gary Ross,Gary Ross|Leonard Hartman,Jon Kilik|Scott Stuber|Gary Ross,
11615,The Life of David Gale,Kevin Spacey|Kate Winslet|Laura Linney|Gabriel Mann|Rhona Mitra,125,Alan Parker,Charles Randolph,Nicolas Cage|Alan Parker,Alex Parker|Jake Parker
13498,Man of the House,Tommy Lee Jones|Cedric the Entertainer|Christina Milian|Paula Garcés|Monica Keena,21,Stephen Herek,Scott Lobdell|John J. McLaughlin,,
241554,Run All Night,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,18,Jaume Collet-Serra,Brad Ingelsby,Michael Tadross|Roy Lee|Brooklyn Weaver,Alan Silvestri
2252,Eastern Promises,Naomi Watts|Viggo Mortensen|Vincent Cassel|Armin Mueller-Stahl|Sinéad Cusack,19,David Cronenberg,Steven Knight,Robert Lantos|Paul Webster,Howard Shore
11968,Into the Blue,Paul Walker|Jessica Alba|Scott Caan|Ashley Scott|Josh Brolin,9,John Stockwell,Matt Johnson,David Zelon,
10047,The Messenger: The Story of Joan of Arc,Milla Jovovich|Dustin Hoffman|Faye Dunaway|John Malkovich|Vincent Cassel,32,Luc Besson,Luc Besson|Andrew Birkin,Luc Besson|Patrice Ledoux,
38319,Your Highness,Danny McBride|James Franco|Natalie Portman|Zooey Deschanel|Justin Theroux,27,David Gordon Green,Ben Best|Ben Best|Danny McBride|Danny McBride,Scott Stuber,
69668,Dream House,Daniel Craig|Naomi Watts|Rachel Weisz|Marton Csokas|Elias Koteas,20,Jim Sheridan,David Loucka,James G. Robinson|Ehren Kruger|Daniel Bobker|David C. Robinson,John Debney
9770,Mad City,John Travolta|Dustin Hoffman|Mia Kirshner|Alan Alda|Robert Prosky,15,Costa-Gavras,Tom Matthews|Eric Williams,Arnold Kopelson|Anne Kopelson,
11212,Baby's Day Out,Joe Mantegna|Lara Flynn Boyle|Joe Pantoliano|Brian Haley|Cynthia Nixon,8,Patrick Read Johnson,John Hughes,John Hughes|Richard Vane,Bruce Broughton
10533,The Scarlet Letter,Demi Moore|Gary Oldman|Robert Duvall|Robert Prosky|Edward Hardwicke,11,Roland Joffé,Douglas Day Stewart,Roland Joffé|Andrew G. Vajna,John Barry
38363,Fair Game,Naomi Watts|Sean Penn|Ty Burrell|Brooke Smith|Bruce McGill,18,Doug Liman,Jez Butterworth|John-Henry Butterworth,,
9923,Domino,Keira Knightley|Mickey Rourke|Edgar Ramírez|Delroy Lindo|Mo'Nique,26,Tony Scott,,Tony Scott|Samuel Hadida|David Hadida|Peter Toumasis,Harry Gregson-Williams
11863,Jade,David Caruso|Linda Fiorentino|Chazz Palminteri|Michael Biehn|Richard Crenna,21,William Friedkin,Joe Eszterhas,Robert Evans,James Horner
18501,Gamer,Gerard Butler|Michael C. Hall|Logan Lerman|Amber Valletta|Terry Crews,29,Brian Taylor|Mark Neveldine,Brian Taylor|Mark Neveldine,Tom Rosenberg|Gary Lucchesi|Richard S. Wright|Skip Williamson,
109491,Beautiful Creatures,Alden Ehrenreich|Alice Englert|Jeremy Irons|Viola Davis|Emmy Rossum,47,Richard LaGravenese,Richard LaGravenese,David Valdes|Erwin Stoff|Broderick Johnson|Andrew A. Kosove|Molly Smith,
9275,Death to Smoochy,Robin Williams|Catherine Keener|Edward Norton|Danny DeVito|Jon Stewart,10,Danny DeVito,Adam Resnick,Peter Macgregor-Scott|Andrew Lazar,David Newman
329833,Zoolander 2,Ben Stiller|Owen Wilson|Will Ferrell|Penélope Cruz|Kristen Wiig,124,Ben Stiller,Justin Theroux|Ben Stiller|John Hamburg|Nicholas Stoller,Scott Rudin|Clayton Townsend|Jeff Mann|Ben Stiller|Stuart Cornfeld,
12634,The Big Bounce,Owen Wilson|Morgan Freeman|Gary Sinise|Sara Foster|Willie Nelson,15,George Armitage,Sebastian Gutierrez,Jorge Saralegui|Steve Bing|George Armitage,George S. Clinton
10416,What Planet Are You From?,Garry Shandling|Annette Bening|John Goodman|Greg Kinnear|Linda Fiorentino,12,Mike Nichols,Ed Solomon|Peter Tolan|Garry Shandling,Mike Nichols|Garry Shandling,Carter Burwell
47327,Drive Angry,Nicolas Cage|Amber Heard|William Fichtner|Billy Burke|David Morse,51,Patrick Lussier,Patrick Lussier|Todd Farmer,Michael De Luca|Ed Cathell III|René Besson,
15268,Street Fighter: The Legend of Chun-Li,Kristin Kreuk|Chris Klein|Neal McDonough|Michael Clarke Duncan|Moon Bloodgood,7,Andrzej Bartkowiak,Justin Marks,,Stephen Endelman
10796,The One,Jet Li|Jason Statham|Carla Gugino|Delroy Lindo|James Morrison,19,James Wong,Glenn Morgan|James Wong,Charles Newirth|Steve Chasman|Glenn Morgan|James Wong,Trevor Rabin
9548,The Adventures of Ford Fairlane,Andrew Dice Clay|Wayne Newton|Priscilla Presley|Morris Day|Lauren Holly,55,Renny Harlin,Daniel Waters|James Cappe|David Arnott,Joel Silver|Steve Perry,Boris Blank
18947,The Boat That Rocked,Tom Sturridge|Philip Seymour Hoffman|Rhys Ifans|Bill Nighy|Emma Thompson,30,Richard Curtis,Richard Curtis,Tim Bevan|Eric Fellner|Ronaldo Vasconcellos|Hilary Bevan Jones|Emma Freud,
1900,Traffic,Michael Douglas|Benicio del Toro|Jacob Vargas|Tomás Milián|Russell G. Jones,29,Steven Soderbergh,Stephen Gaghan|Simon Moore,Edward Zwick|Marshall Herskovitz|Laura Bickford,Cliff Martinez
89,Indiana Jones and the Last Crusade,Harrison Ford|Sean Connery|Denholm Elliott|Alison Doody|John Rhys-Davies,51,Steven Spielberg,Menno Meyjes|Jeffrey Boam,Robert Watts|Arthur F. Repola,John Williams
96724,Anna Karenina,Keira Knightley|Jude Law|Aaron Taylor-Johnson|Kelly Macdonald|Matthew Macfadyen,54,Joe Wright,Tom Stoppard,Tim Bevan|Eric Fellner|Paul Webster,
198184,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,45,Neill Blomkamp,Neill Blomkamp|Terri Tatchell,Simon Kinberg|Neill Blomkamp,Hans Zimmer
9481,The Bone Collector,Denzel Washington|Angelina Jolie|Queen Latifah|Michael Rooker|Michael McGlone,21,Phillip Noyce,Jeremy Iacone,Martin Bregman|Michael Bregman|Louis A. Stroller,Craig Armstrong
4547,Panic Room,Jodie Foster|Kristen Stewart|Forest Whitaker|Dwight Yoakam|Jared Leto,16,David Fincher,David Koepp,David Koepp|Ceán Chaffin|Gavin Polone|Judy Hofflund,
53953,The Tooth Fairy,Lochlyn Munro|Chandra West|Steve Bacic|Jianna Ballard|Carrie Fleming,15,Chuck Bowman,,,
6415,Three Kings,George Clooney|Mark Wahlberg|Ice Cube|Spike Jonze|Cliff Curtis,17,David O. Russell,David O. Russell,Charles Roven|Paul Junger Witt|Edward McDonnell,Carter Burwell
181283,Child 44,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,24,Daniel Espinosa,Richard Price,Ridley Scott|Greg Shapiro|Michael Schaefer,
9896,Rat Race,Cuba Gooding Jr.|Seth Green|Whoopi Goldberg|Breckin Meyer|Amy Smart,20,Jerry Zucker,Andy Breckman,Jerry Zucker|Sean Daniel|Janet Zucker,John Powell
167,K-PAX,Jeff Bridges|Kevin Spacey|Mary McCormack|Alfre Woodard|Ajay Naidu,30,Iain Softley,Charles Leavitt,Lawrence Gordon|Lloyd Levin|Robert F. Colesberry,Ed Shearmur
11232,Kate & Leopold,Meg Ryan|Hugh Jackman|Liev Schreiber|Breckin Meyer|Natasha Lyonne,16,James Mangold,James Mangold|Steven Rogers|Steven Rogers,Cathy Konrad,Rolfe Kent
1636,Bedazzled,Elizabeth Hurley|Brendan Fraser|Frances O'Connor|Orlando Jones|Paul Adelstein,11,Harold Ramis,Harold Ramis|Larry Gelbart|Peter Tolan,Harold Ramis|Trevor Albert|Michael Haley|Suzanne Herrington,David Newman
2148,The Cotton Club,Richard Gere|Gregory Hines|Diane Lane|Lonette McKee|Bob Hoskins,32,Francis Ford Coppola,Francis Ford Coppola|William Kennedy,Robert Evans,John Barry
5176,3:10 to Yuma,Russell Crowe|Christian Bale|Logan Lerman|Dallas Roberts|Peter Fonda,44,James Mangold,Elmore Leonard|Michael Brandt|Derek Haas|Halsted Welles,Cathy Konrad,
260346,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,56,Olivier Megaton,Luc Besson|Robert Mark Kamen,Luc Besson,Nathaniel Méchaly
1389,Out of Sight,George Clooney|Jennifer Lopez|Ving Rhames|Don Cheadle|Albert Brooks,16,Steven Soderbergh,Scott Frank,Danny DeVito|Michael Shamberg|Stacey Sher,David Holmes
9894,The Cable Guy,Jim Carrey|Matthew Broderick|Leslie Mann|Jack Black|George Segal,17,Ben Stiller,Lou Holtz Jr.,Judd Apatow|Andrew Licht|Jeffrey A. Mueller,
7504,Earth,Aamir Khan|Nandita Das|Maia Sethna|Kitu Gidwani|Arif Zakaria,10,Deepa Mehta,Deepa Mehta,Deepa Mehta|Anne Masson,A. R. Rahman
8592,Dick Tracy,Warren Beatty|Al Pacino|Madonna|Charlie Korsmo|Glenne Headly,25,Warren Beatty,Jim Cash|Jack Epps Jr.,Warren Beatty,Alan Silvestri
913,The Thomas Crown Affair,Pierce Brosnan|Rene Russo|Denis Leary|Ben Gazzara|Frankie Faison,13,John McTiernan,Leslie Dixon|Kurt Wimmer,Pierce Brosnan|Beau St. Clair|Roger Paradiso|Bruce Moriarty,Bill Conti
11091,Riding in Cars with Boys,Drew Barrymore|Steve Zahn|Adam Garcia|Brittany Murphy|Logan Lerman,17,Penny Marshall,Morgan Ward,Julie Ansell,Hans Zimmer
1368,First Blood,Sylvester Stallone|Richard Crenna|Brian Dennehy|Bill McKinney|Jack Starrett,23,Ted Kotcheff,Sylvester Stallone|Michael Kozoll|William Sackheim,Buzz Feitshans,Jerry Goldsmith
593,Solaris,Donatas Banionis|Natalya Bondarchuk|Jüri Järvet|Anatoliy Solonitsyn|Nikolay Grinko,10,Andrei Tarkovsky,Andrei Tarkovsky|Fridrikh Gorenshteyn,Viacheslav Tarasov,Vyacheslav Ovchinnikov|Eduard Artemev
5393,Happily N'Ever After,George Carlin|Andy Dick|Sarah Michelle Gellar|Lisa Kaplan|Michael McShane,17,Yvette Kaplan|Paul Bolger|Greg Tiernan,Robert Moreland,Charlie Woebcken|John H. Williams|Chad Hammes|Dr. Volker Baas|Silke Zakarneh,
9095,Mary Reilly,Julia Roberts|John Malkovich|George Cole|Michael Gambon|Glenn Close,11,Stephen Frears,Christopher Hampton,Norma Heyman|Ned Tanen|Nancy Graham Tanen,George Fenton
8874,My Best Friend's Wedding,Julia Roberts|Dermot Mulroney|Cameron Diaz|Rupert Everett|Philip Bosco,23,P.J. Hogan,Ronald Bass,Jerry Zucker|Ronald Bass,James Newton Howard
11467,America's Sweethearts,Julia Roberts|Billy Crystal|Catherine Zeta-Jones|John Cusack|Hank Azaria,38,Joe Roth,Billy Crystal|Peter Tolan,Billy Crystal|Susan Arnold|Donna Roth,James Newton Howard
320,Insomnia,Al Pacino|Robin Williams|Hilary Swank|Maura Tierney|Martin Donovan,25,Christopher Nolan,Hillary Seitz,Paul Junger Witt|Edward McDonnell|Broderick Johnson|Andrew A. Kosove,David Julyan
199,Star Trek: First Contact,Patrick Stewart|Jonathan Frakes|Brent Spiner|LeVar Burton|Michael Dorn,14,Jonathan Frakes,Ronald D. Moore|Brannon Braga,Rick Berman|Peter Lauritson,Jerry Goldsmith
20533,Jonah Hex,Josh Brolin|John Malkovich|Megan Fox|Michael Fassbender|Will Arnett,26,Jimmy Hayward,Brian Taylor|Brian Taylor|Mark Neveldine|Mark Neveldine|William Farmer,Akiva Goldsman|Andrew Lazar|Richard Middleton|Joshua Levinson|Margot Lulick,Marco Beltrami|Mastodon
10684,Courage Under Fire,Denzel Washington|Meg Ryan|Lou Diamond Phillips|Matt Damon|Michael Moriarty,20,Edward Zwick,Patrick Sheane Duncan,John Davis|Debra Martin Chase,James Horner
1624,Liar Liar,Jim Carrey|Maura Tierney|Cary Elwes|Jennifer Tilly|Swoosie Kurtz,13,Tom Shadyac,Paul Guay|Stephen Mazur,Brian Grazer,John Debney
325789,The Infiltrator,Bryan Cranston|Diane Kruger|John Leguizamo|Daniel Mays|Benjamin Bratt,21,Brad Furman,Ellen Brown Furman,Brad Furman|Don Sikorski|Paul M. Brennan|Miriam Segal,Chris Hajian
113464,Inchon,Laurence Olivier|Jacqueline Bisset|Ben Gazzara|Toshirō Mifune|Richard Roundtree,14,Terence Young,Robin Moore|Robin Moore|Laird Koenig|Paul Savage,Sidney Beckerman|Mitsuharu Ishii,Jerry Goldsmith
888,The Flintstones,John Goodman|Elizabeth Perkins|Rick Moranis|Rosie O'Donnell|Kyle MacLachlan,15,Brian Levant,Steven E. de Souza|Tom S. Parker|Jim Jennewein|Joseph Barbera|William Hanna,Bruce Cohen|Colin Wilson,Ted Nichols|Marty Paich
82675,Taken 2,Liam Neeson|Maggie Grace|Famke Janssen|Rade Serbedzija|Luke Grimes,31,Olivier Megaton,Luc Besson|Robert Mark Kamen,Luc Besson,Nathaniel Méchaly
4256,Scary Movie 3,Pamela Anderson|Jenny McCarthy|Marny Eng|Charlie Sheen|Simon Rex,17,David Zucker,Craig Mazin|Pat Proft,Robert K. Weiss,James L. Venable
1493,Miss Congeniality,Sandra Bullock|Benjamin Bratt|Michael Caine|Candice Bergen|William Shatner,17,Donald Petrie,Marc Lawrence|Katie Ford|Caryn Lucas,Sandra Bullock,Ed Shearmur
88751,Journey to the Center of the Earth,Brendan Fraser|Josh Hutcherson|Anita Briem|Seth Meyers|Jean Michel Paré,10,Eric Brevig,Michael D. Weiss|Jennifer Flackett|Mark Levin,Beau Flynn,Andrew Lockington
11130,The Princess Diaries 2: Royal Engagement,Anne Hathaway|Julie Andrews|Héctor Elizondo|John Rhys-Davies|Heather Matarazzo,20,Garry Marshall,Shonda Rhimes,Whitney Houston|Mario Iscovich|Debra Martin Chase,John Debney
9944,The Pelican Brief,Julia Roberts|Denzel Washington|Sam Shepard|William Atherton|John Lithgow,12,Alan J. Pakula,Alan J. Pakula,Pieter Jan Brugge|Alan J. Pakula,James Horner
10731,The Client,Susan Sarandon|Tommy Lee Jones|Mary-Louise Parker|Anthony LaPaglia|Bradley Whitford,15,Joel Schumacher,Akiva Goldsman|Robert Getchell,Arnon Milchan|Steven Reuther,Howard Shore
7350,The Bucket List,Jack Nicholson|Morgan Freeman|Sean Hayes|Beverly Todd|Alfonso Freeman,22,Rob Reiner,Justin Zackham,Rob Reiner|Craig Zadan|Alan Greisman|Neil Meron,
9869,Patriot Games,Harrison Ford|Anne Archer|Patrick Bergin|Thora Birch|James Fox,26,Phillip Noyce,W. Peter Iliff|Donald Stewart,Mace Neufeld|Robert Rehme,James Horner
4379,Monster-in-Law,Jennifer Lopez|Jane Fonda|Michael Vartan|Wanda Sykes|Adam Scott,18,Robert Luketic,Anya Kochoff,Chris Bender|Paula Weinstein|J.C. Spink,David Newman|Rosey
146233,Prisoners,Hugh Jackman|Jake Gyllenhaal|Paul Dano|Maria Bello|Melissa Leo,34,Denis Villeneuve,Aaron Guzikowski,Broderick Johnson|Andrew A. Kosove|Kira Davis|Adam Kolbrenner,Jóhann Jóhannsson
2034,Training Day,Denzel Washington|Ethan Hawke|Scott Glenn|Tom Berenger|Harris Yulin,14,Antoine Fuqua,David Ayer,Jeffrey Silver|Robert F. Newmyer,Mark Mancina
926,Galaxy Quest,Tim Allen|Sigourney Weaver|Alan Rickman|Tony Shalhoub|Sam Rockwell,21,Dean Parisot,David Howard|Robert Gordon,Mark Johnson|Charles Newirth,David Newman
4248,Scary Movie 2,Anna Faris|Marlon Wayans|James DeBello|Shawn Wayans|David Cross,15,Keenen Ivory Wayans,Marlon Wayans|Shawn Wayans|Alyson Fouse|Greg Grabianski|Dave Polsky,Eric L. Gold,Mark McGrath
64328,The Muppets,Amy Adams|Jason Segel|Emily Blunt|John Krasinski|Zach Galifianakis,47,James Bobin,Jason Segel|Nicholas Stoller,,
36647,Blade,Wesley Snipes|Stephen Dorff|Kris Kristofferson|N'Bushe Wright|Donal Logue,48,Stephen Norrington,David S. Goyer,Peter Frankfurt|Wesley Snipes|Robert Engelman,Mark Isham
7214,Coach Carter,Samuel L. Jackson|Rob Brown|Robert Ri'chard|Rick Gonzalez|Channing Tatum,10,Thomas Carter,Mark Schwahn|John Gatins,Brian Robbins|Mike Tollin|David Gale,Trevor Rabin
1537,Changing Lanes,Ben Affleck|Samuel L. Jackson|Kim Staunton|Toni Collette|Sydney Pollack,11,Roger Michell,Michael Tolkin|Chap Taylor,Scott Rudin,David Arnold
9360,Anaconda,Jennifer Lopez|Ice Cube|Jon Voight|Eric Stoltz|Owen Wilson,10,Luis Llosa,,Jack Epps Jr.|Verna Harrah|Carole Little|Leonard Rabinowitz,Randy Edelman
6282,Coyote Ugly,Piper Perabo|Adam Garcia|John Goodman|Izabella Miko|Tyra Banks,20,David McNally,Gina Wendkos,Jerry Bruckheimer|Chad Oman,Trevor Horn
508,Love Actually,Keira Knightley|Heike Makatsch|Emma Thompson|Laura Linney|Hugh Grant,39,Richard Curtis,Richard Curtis,Tim Bevan|Eric Fellner|Duncan Kenworthy,Craig Armstrong
9487,A Bug's Life,Kevin Spacey|Julia Louis-Dreyfus|Hayden Panettiere|Phyllis Diller|Bonnie Hunt,16,Andrew Stanton|John Lasseter,Andrew Stanton|Andrew Stanton|John Lasseter|Joe Ranft|Don McEnery,Darla K. Anderson|Kevin Reher,Randy Newman
768,From Hell,Johnny Depp|Heather Graham|Ian Holm|Robbie Coltrane|Ian Richardson,26,Albert Hughes|Allen Hughes,Terry Hayes|Rafael Yglesias,Jane Hamsher|Don Murphy,Trevor Jones
2636,The Specialist,Sylvester Stallone|Sharon Stone|James Woods|Rod Steiger|Eric Roberts,12,Luis Llosa,Alexandra Seros,Jerry Weintraub,John Barry
